id,protocol,use_tls,temperature,humidity,current,client_timestamp,server_timestamp,latency_ms,payload_size_bytes,created_at
74,mqtt,f,21.18,43.31,4.32,1772146037.7258873,1772146037.7295232,3.635883331298828,91,2026-02-26 22:47:17.729703
75,mqtt,f,25.59,55.18,4.24,1772146037.7803402,1772146037.78439,4.049777984619141,91,2026-02-26 22:47:17.784533
76,mqtt,f,29.54,48.78,1.01,1772146037.8354068,1772146037.8381093,2.702474594116211,91,2026-02-26 22:47:17.838271
77,mqtt,f,29.64,54.64,2.74,1772146037.8887296,1772146037.8916464,2.9168128967285156,91,2026-02-26 22:47:17.891893
78,mqtt,f,21.64,44.74,1.07,1772146037.9425006,1772146037.9452572,2.7565956115722656,91,2026-02-26 22:47:17.945401
79,mqtt,f,21.05,45.69,2.97,1772146037.9958472,1772146037.9983716,2.5243759155273438,91,2026-02-26 22:47:17.998504
80,mqtt,f,26.84,51.05,3.87,1772146038.0490935,1772146038.0528731,3.7796497344970703,91,2026-02-26 22:47:18.052964
81,mqtt,f,23.98,49.31,2.79,1772146038.1035004,1772146038.1060448,2.544403076171875,91,2026-02-26 22:47:18.106193
82,mqtt,f,27.57,47.71,3.91,1772146038.157072,1772146038.1597695,2.697467803955078,90,2026-02-26 22:47:18.159915
83,mqtt,f,23.19,57.6,4.68,1772146038.2106595,1772146038.2138147,3.155231475830078,90,2026-02-26 22:47:18.21398
84,mqtt,f,27.17,48.65,3.34,1772146038.26463,1772146038.2675133,2.8831958770751953,89,2026-02-26 22:47:18.267628
85,mqtt,f,28.53,47.66,4.67,1772146038.3184621,1772146038.321312,2.8498172760009766,91,2026-02-26 22:47:18.321449
86,mqtt,f,21.78,49.05,1.64,1772146038.3720472,1772146038.374396,2.3488998413085938,91,2026-02-26 22:47:18.374501
87,mqtt,f,23.33,41.67,2.79,1772146038.4251614,1772146038.4278276,2.6662349700927734,91,2026-02-26 22:47:18.42791
88,mqtt,f,25.43,56.43,4.76,1772146038.4787552,1772146038.4817162,2.9609203338623047,91,2026-02-26 22:47:18.482034
89,mqtt,f,28.05,42.56,2.53,1772146038.532488,1772146038.5357113,3.2231807708740234,90,2026-02-26 22:47:18.535844
90,mqtt,f,24.42,59.7,3.46,1772146038.5865288,1772146038.5896428,3.113985061645508,90,2026-02-26 22:47:18.58983
91,mqtt,f,27.18,41.92,2.6,1772146038.6402967,1772146038.643332,3.035306930541992,90,2026-02-26 22:47:18.643448
92,mqtt,f,21.11,47.42,1.98,1772146038.6941223,1772146038.6970115,2.8891563415527344,91,2026-02-26 22:47:18.697224
93,mqtt,f,24.76,58.34,2.81,1772146038.7478604,1772146038.7505915,2.7310848236083984,91,2026-02-26 22:47:18.750705
94,mqtt,f,26.34,45.6,2.82,1772146038.8013222,1772146038.8042107,2.8884410858154297,90,2026-02-26 22:47:18.804337
95,mqtt,f,29.53,48.38,1.6,1772146038.855253,1772146038.8579803,2.7272701263427734,89,2026-02-26 22:47:18.858217
96,mqtt,f,20.07,56.92,2.28,1772146038.908593,1772146038.9110203,2.427339553833008,90,2026-02-26 22:47:18.911126
97,mqtt,f,25.97,54.03,3.53,1772146038.961808,1772146038.9645102,2.7022361755371094,90,2026-02-26 22:47:18.964671
98,mqtt,f,23.03,53.41,2.5,1772146039.015215,1772146039.017895,2.680063247680664,89,2026-02-26 22:47:19.018037
99,mqtt,f,22.46,50.78,2.81,1772146039.0685802,1772146039.0726388,4.058599472045898,91,2026-02-26 22:47:19.072804
